time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-13T20:57:42.020Z,19.0186666666667,-155.308833333333,6.69,3.32,ml,47,255,,0.16,hv,hv72916277,2022-04-30T14:18:08.040Z,"27 km SE of P?hala, Hawaii",earthquake,0.44,0.67,0.146733938751719,36,reviewed,hv,hv
2021-12-26T08:44:39.380Z,18.8708333333333,-155.161833333333,9.68,2.87,ml,34,265,,0.11,hv,hv72846932,2022-03-05T23:10:41.040Z,"49 km ESE of Naalehu, Hawaii",earthquake,0.59,0.46,0.207979605242817,28,reviewed,hv,hv
2021-12-25T09:51:34.970Z,18.8626666666667,-155.1925,10.45,2.97,ml,39,262,,0.12,hv,hv72845842,2022-03-05T23:10:38.040Z,"46 km ESE of Naalehu, Hawaii",earthquake,0.61,0.61,0.163116653627999,29,reviewed,hv,hv
2021-12-25T06:59:11.330Z,18.8561666666667,-155.192333333333,10.86,3.92,ml,45,263,,0.12,hv,hv72845717,2022-03-05T23:10:38.040Z,"47 km ESE of Naalehu, Hawaii",earthquake,0.64,0.83,0.165861775497279,36,reviewed,hv,hv
2021-12-24T20:32:42.390Z,18.8705,-155.199833333333,10.35,3.34,ml,44,260,,0.13,hv,hv72845167,2022-03-05T23:10:37.040Z,"45 km ESE of Naalehu, Hawaii",earthquake,0.58,0.47,0.171297458703737,35,reviewed,hv,hv
2021-12-24T11:31:34.390Z,18.8698333333333,-155.234,11.89,4.87,ml,47,261,,0.12,hv,hv72844817,2022-03-05T23:10:36.040Z,"42 km ESE of Naalehu, Hawaii",earthquake,0.55,0.72,0.176054570504694,39,reviewed,hv,hv
2021-12-21T00:48:16.740Z,18.8238333333333,-155.190333333333,9.4,2.96,ml,35,267,,0.13,hv,hv72841437,2022-03-01T16:38:39.040Z,"49 km ESE of Naalehu, Hawaii",earthquake,0.59,0.61,0.180311987425799,16,reviewed,hv,hv
2021-12-20T05:05:57.250Z,18.7751666666667,-155.249333333333,5.58,2.77,ml,41,274,,0.15,hv,hv72840622,2022-03-01T16:38:08.040Z,"47 km SE of Naalehu, Hawaii",earthquake,0.59,0.52,0.152263796920738,14,reviewed,hv,hv
2021-12-17T16:25:41.325Z,18.8429,-155.3259,38.44,2.6,ml,,266,0.351,0.38,us,us6000gd65,2022-03-01T16:37:10.040Z,"36 km SE of Naalehu, Hawaii",earthquake,5.4,11.4,0.053,46,reviewed,us,us
2021-12-16T20:48:29.560Z,18.8126666666667,-155.268833333333,9.62,3.1,ml,51,267,,0.12,hv,hv72836042,2022-02-24T21:02:04.040Z,"43 km SE of Naalehu, Hawaii",earthquake,0.55,0.73,0.161479724725826,32,reviewed,hv,hv
2021-12-16T19:07:56.350Z,18.7533333333333,-155.251,7.51,2.88,md,42,276,,0.15,hv,hv72835907,2022-02-24T21:02:02.040Z,"49 km SE of Naalehu, Hawaii",earthquake,0.69,0.74,0.114689468532358,17,reviewed,hv,hv
2021-12-16T09:01:16.080Z,18.8311666666667,-155.1975,8.57,2.87,ml,46,267,,0.14,hv,hv72835347,2022-02-24T21:01:40.040Z,"48 km ESE of Naalehu, Hawaii",earthquake,0.51,0.54,0.205990357853459,22,reviewed,hv,hv
2021-12-16T08:54:18.700Z,18.883,-155.215166666667,7.21,3.19,ml,42,257,,0.16,hv,hv72835337,2022-02-24T21:01:40.040Z,"43 km ESE of Naalehu, Hawaii",earthquake,0.51,0.41,0.150708259687205,26,reviewed,hv,hv
2021-12-16T08:53:09.440Z,18.7376666666667,-155.266,8.04,2.96,md,38,279,,0.18,hv,hv72835332,2022-02-24T21:01:39.040Z,"49 km SE of Naalehu, Hawaii",earthquake,0.75,0.84,0.227497176096915,16,reviewed,hv,hv
2021-12-16T08:47:46.190Z,18.7343333333333,-155.252,8.33,2.86,md,42,279,,0.16,hv,hv72835322,2022-02-24T21:01:39.040Z,"50 km SE of Naalehu, Hawaii",earthquake,0.67,0.65,0.181796952039075,19,reviewed,hv,hv
2021-12-16T08:46:18.440Z,18.7681666666667,-155.261166666667,8.16,2.69,ml,33,274,,0.13,hv,hv72835317,2022-02-24T21:01:38.040Z,"47 km SE of Naalehu, Hawaii",earthquake,0.86,0.84,0.162847429010189,12,reviewed,hv,hv
2021-12-16T02:11:20.900Z,18.884,-155.219833333333,8.07,3,ml,47,257,,0.14,hv,hv72835042,2022-02-24T21:01:32.040Z,"43 km ESE of Naalehu, Hawaii",earthquake,0.46,0.44,0.173012242267897,31,reviewed,hv,hv
2021-12-15T22:02:21.412Z,18.7887,-155.2528,31.71,2.5,ml,,283,0.436,0.18,us,us6000gck5,2022-02-24T21:01:28.040Z,"46 km SE of Naalehu, Hawaii",earthquake,6.2,10.5,0.062,34,reviewed,us,us
2021-12-15T18:13:46.430Z,18.9051666666667,-155.197333333333,6.41,3.09,md,46,255,,0.16,hv,hv72834632,2022-02-24T21:01:24.040Z,"44 km ESE of Naalehu, Hawaii",earthquake,0.44,0.37,0.101581040522119,16,reviewed,hv,hv
2021-12-15T16:36:41.580Z,18.826,-155.1945,8.34,2.74,md,46,267,,0.13,hv,hv72834572,2022-02-24T21:01:11.040Z,"Hawaii region, Hawaii",earthquake,0.6,0.64,0.216517165798985,18,reviewed,hv,hv
2021-12-15T16:10:55.260Z,18.8388333333333,-155.204166666667,8.74,2.95,md,47,265,,0.14,hv,hv72834547,2022-02-24T21:01:10.040Z,"46 km ESE of Naalehu, Hawaii",earthquake,0.51,0.55,0.192150894960715,19,reviewed,hv,hv
2021-12-15T14:55:34.860Z,18.8348333333333,-155.225,6.96,2.75,md,31,271,,0.11,hv,hv72834457,2022-02-24T21:01:09.040Z,"45 km SE of Naalehu, Hawaii",earthquake,0.56,0.4,0.0417774994972473,11,reviewed,hv,hv
